"category_id","category_name","category_color"
"1","Almuerzos","#d63384"
"2","Bebidas","#0dcaf0"
"3","Desayunos","#fd7e14"
"4","Postres","#0d6efd"
"5","Servicios","#dc3545"
"item_id","item_name","item_category","item_uni_metric","item_count","item_create","item_status"
"1","Trucha","6","3","233","2023-02-01 14:17:46","1"
"2","Huevos","2","3","0","2023-02-06 20:01:44","1"
"3","Mantequilla","2","2","0","2023-01-12 06:19:22","1"
"4","Leche Liquida","2","1","0","2023-01-21 08:49:20","1"
"5","Nata","2","2","0","2022-12-31 07:07:57","1"
"6","Queso Blanco Duro","2","2","0","2023-01-19 02:26:00","1"
"7","Aceite","2","1","0","2022-12-21 12:19:49","1"
"8","Arroz","2","2","3.6","2023-01-25 11:25:29","1"
"9","Pasta","2","2","13","2023-01-26 11:10:18","1"
"10","Sal","2","2","0","2022-12-21 12:20:54","1"
"11","Azúcar","2","2","0.34","2023-01-26 10:30:06","1"
"12","Vinagre","2","1","0","2022-12-21 12:21:34","1"
"13","Cacao en Polvo","2","2","0.64","2023-01-20 07:39:08","1"
"14","Café","2","2","1.51","2023-01-20 05:00:11","1"
"15","Salsa de Tomate","2","2","0","2022-12-21 12:24:53","1"
"16","Mayonesa","2","2","2","2023-01-21 08:49:37","1"
"17","Mostaza","2","2","0","2022-12-21 12:25:30","1"
"18","Papelón","2","2","8","2023-01-26 11:13:15","1"
"19","Harina de Trigo","2","2","6","2023-01-31 22:09:34","1"
"20","Vainilla","2","1","6","2023-02-06 19:55:23","1"
"21","Harina Pan","2","2","9","2023-02-04 19:28:04","1"
"22","Orégano","2","2","4","2023-01-26 12:59:36","1"
"23","Ajo","3","2","0","2022-12-21 12:28:23","1"
"24","Cebolla","3","2","0","2022-12-21 12:28:47","1"
"25","Tomate","3","2","0","2022-12-21 05:45:38","1"
"26","Pimentón","3","2","0","2022-12-21 12:29:31","1"
"27","Lechuga","3","2","0","2022-12-21 12:29:48","1"
"28","Cilantro","3","2","0","2022-12-21 12:30:00","1"
"29","Perejil","3","2","0","2023-01-12 06:19:33","1"
"30","Papas","3","2","0.01","2023-02-07 00:05:36","1"
"31","Plátanos","3","2","47","2023-01-26 08:51:12","1"
"32","Cebollín","3","2","0","2023-01-10 10:31:33","1"
"33","Ajo Porro","3","2","0","2022-12-21 12:34:02","1"
"34","Repollo","3","2","15","2023-01-20 05:00:53","1"
